bundle,rel_path,ext,size,sha256,norm_text_sha256,title,category
disp,disp/disp/intro.md,.md,1242,5363abdab9fbc7407ed90dcd395423a152dfb3131d333d18455ba2cf7a24b17c,722b2615ead18aef9ef7e84c3e7f94f85d397971f23faca4ab28feda8fd07914,Чистая логистика,report_weight
disp,disp/disp/mails/template.md,.md,913,c4ef902b5f0e6f070c86c17eb7e71d08951cbcacc07ee604e193dd86a4a199c9,c229e2eac924fe66e0025a4790379c1f8250294aeaba5a0d05155071973de7ac,Шаблоны писем,
disp,disp/disp/mails/view.md,.md,1259,11bb89e1e7640228b3bb09c76c1f6b2ac796094af707f1b9eaebddcca155739f,367414e78b6e0aaf5af0c17824b74524bf75b0202d9037273b8632c76d867f02,Виды писем,
disp,disp/disp/mails/create.md,.md,2518,3a989b43a383e1e79650fc6df63b931332c9a32527337305920ada10935302c0,3da928b1b98a69af8d51fe6534bb4b02caa3ab7f5922b7a56384257f147d9b9e,Создание писем,
disp,disp/disp/prepare/ts.md,.md,4846,51656cb98f9548f6db8c1c4cb1f9e669883c48d86c24b78eacdbd17d9ad5659c,104da1d89f4a573f934a902a2ee0897188c384e23b1932cd9c89e47baf5e6ed8,Транспортные средства,report_weight
disp,disp/disp/prepare/prepare.md,.md,2692,e1b1e08508c7c146ee48e5d7e2b61b76a24df1e7c95fb20081f1a33a96894526,10b6fe067fee446b735ebf859df9e15b3dc6625c06f233eea1e5b64b87f5ac5e,Подготовка к работе,
disp,disp/disp/prepare/faq.md,.md,6565,d9eea275f19c9d2be3f2afafde1e737b6a5782fc6ae882df8fa3eee8c788788a,a1a0848f4f161af6d1991845aef74140640a8aa45e4b4954262cdf4173678887,Частые вопросы,routes_schedule
disp,disp/disp/prepare/employees.md,.md,12479,7a81a3dc75da9228247f08860739a73f63225c05234da43f395e67962a307113,b96a14cb41bc99215bf2981cc75e507db4ebb69e2a44dbe3c7e33dfa8fce1aff,Сотрудники,report_month
disp,disp/disp/prepare/gps.md,.md,1033,81938597bb1ba61779e1eb4fd1dd1ce0ce8196c8457d8d5ddd92635609db3aa5,6ae304904b668fb83c87a6bf4b474342f30c2c77790cd6e8ce801d6a93219194,GPS-система,
disp,disp/disp/prepare/geo.md,.md,1168,b0242475bed1a10fa52aafad9b0993efc163d55fe312331491610e39b70236bc,110cace7eaedacbb7e2222bbf642b5d78ab2b0f77b904d508af0d09b81477203,Гео-объекты,
disp,disp/disp/prepare/terms.md,.md,874,5d42411782bb56e883ee80cd3803d7c95b3e29f33b48b6d06c1987a43d811ed1,44edea05f9ee68e0871235f5bea504c8ac91946eadf47374197e9b51cfdd04f4,Терминология и сокращения,report_volume
disp,disp/disp/prepare/regions.md,.md,1488,66c92d50ffd8195331586cb4e7ed7a88738b7d572d13c0af4bbc50c7128607c8,50951d745d337234f01c337d489711d9b1e9c41065f18f88e5338947f1895b6e,Участки вывоза,
disp,disp/disp/prepare/mobile.md,.md,3246,8d094593a4bcbb9f50c3ee7e2267df6e7cf87ab8702ccd02cfd5a7224d37d980,3e7ea61db8597b0e5a514b664b987e30c3b27ad642b0fdfc56e411d55d539d2d,Мобильные устройства,
disp,disp/disp/prepare/carrier.md,.md,1347,07e4b942177b43dc019b780a3b854f076151802c76698e778457f4cf270e5a6a,28bfba3c6e0818061f42fc91b90c292a83365981979d5ddf0e568c2cd2a88f17,Перевозчики,
