date,district,actual_m3
2024-01-01,Аларский район,12.750446
2024-01-01,Ангарский ГО,144.506056
2024-01-01,Боханский район,0.750507
2024-01-01,Зиминский район,30.934530
2024-01-01,Иркутский район,161.617954
2024-01-01,Куйтунский район,3.578877
2024-01-01,Левый берег,305.007746
2024-01-01,МО Саянск,36.216981
2024-01-01,Ольхонский район,5.251247
2024-01-01,Правый берег,263.203777
2024-01-01,Слюдянский район,31.424296
2024-01-01,Тулунский район,47.716434
2024-01-01,Усольский район,78.849063
2024-01-01,Черемховский район,35.547845
2024-01-01,Шелеховский район,38.005335
2024-01-01,Эхирит-Булагатский район,1.600359
2024-01-02,Аларский район,11.501571
2024-01-02,Ангарский ГО,157.064241
2024-01-02,Бодайбинский район,13.432900
2024-01-02,Заларинский район,0.969040
2024-01-02,Зиминский район,28.895213
2024-01-02,Иркутский район,123.237817
2024-01-02,Казачинско-Ленский район,20.381082
2024-01-02,Куйтунский район,5.391311
2024-01-02,Левый берег,265.355546
2024-01-02,МО Саянск,29.491121
2024-01-02,Ольхонский район,2.753610
2024-01-02,Правый берег,225.334442
2024-01-02,Слюдянский район,23.635102
2024-01-02,Тулунский район,32.530127
2024-01-02,Усольский район,72.177021
2024-01-02,Черемховский район,33.568824
2024-01-02,Шелеховский район,42.153801
2024-01-02,Эхирит-Булагатский район,13.471915
2024-01-03,Аларский район,5.751950
2024-01-03,Ангарский ГО,148.713916
2024-01-03,Бодайбинский район,7.731988
2024-01-03,Боханский район,7.618006
2024-01-03,Жигаловский район,7.420829
2024-01-03,Заларинский район,8.208283
2024-01-03,Зиминский район,28.004668
2024-01-03,Иркутский район,169.128880
2024-01-03,Казачинско-Ленский район,10.230405
2024-01-03,Качугский район,7.291668
2024-01-03,Куйтунский район,4.123197
2024-01-03,Левый берег,307.069098
2024-01-03,МО Саянск,28.462603
2024-01-03,Нукутский район,8.509175
2024-01-03,Ольхонский район,10.978521
2024-01-03,Осинский район,13.336923
2024-01-03,Правый берег,251.648980
2024-01-03,Слюдянский район,30.229754
2024-01-03,Тулунский район,29.239259
2024-01-03,Усольский район,74.689070
2024-01-03,Усть-Удинский район,2.107132
2024-01-03,Черемховский район,53.224458
2024-01-03,Шелеховский район,60.382576
2024-01-03,Эхирит-Булагатский район,18.204764
2024-01-04,Аларский район,10.256494
2024-01-04,Ангарский ГО,160.316617
2024-01-04,Баяндаевский район,12.099715
2024-01-04,Бодайбинский район,13.224495
2024-01-04,Боханский район,5.177093
2024-01-04,Жигаловский район,5.040556
2024-01-04,Заларинский район,3.997080
2024-01-04,Зиминский район,26.875381
2024-01-04,Иркутский район,136.913221
2024-01-04,Казачинско-Ленский район,10.637638
2024-01-04,Куйтунский район,7.575695
2024-01-04,Левый берег,299.902866
2024-01-04,МО Саянск,22.128907
2024-01-04,Нукутский район,0.261390
2024-01-04,Ольхонский район,2.856074
2024-01-04,Осинский район,13.536976
2024-01-04,Правый берег,254.555545
2024-01-04,Слюдянский район,22.756193
2024-01-04,Тулунский район,39.306742
2024-01-04,Усольский район,75.206193
2024-01-04,Усть-Удинский район,3.911094
2024-01-04,Черемховский район,51.733408
2024-01-04,Шелеховский район,41.346512
2024-01-04,Эхирит-Булагатский район,18.823136
2024-01-05,Аларский район,8.550313
2024-01-05,Ангарский ГО,180.986991
2024-01-05,Балаганский район,1.604400
2024-01-05,Баяндаевский район,9.933773
2024-01-05,Бодайбинский район,7.697525
2024-01-05,Боханский район,8.187808
2024-01-05,Жигаловский район,6.083140
2024-01-05,Заларинский район,4.427351
2024-01-05,Зиминский район,24.895713
2024-01-05,Иркутский район,173.306004
2024-01-05,Казачинско-Ленский район,10.253876
2024-01-05,Качугский район,5.507729
2024-01-05,Куйтунский район,4.287782
2024-01-05,Левый берег,319.921090
2024-01-05,МО Саянск,27.252902
2024-01-05,Ольхонский район,8.047273
2024-01-05,Осинский район,5.688969
2024-01-05,Правый берег,261.376992
2024-01-05,Слюдянский район,26.149217
2024-01-05,Тулунский район,39.250789
2024-01-05,Усольский район,77.409170
2024-01-05,Усть-Удинский район,2.366538
2024-01-05,Черемховский район,53.247187
2024-01-05,Шелеховский район,49.075369
2024-01-05,Эхирит-Булагатский район,14.071804
2024-01-06,Аларский район,1.603478
2024-01-06,Ангарский ГО,100.867361
2024-01-06,Бодайбинский район,9.000372
2024-01-06,Боханский район,3.646174
2024-01-06,Жигаловский район,4.206136
2024-01-06,Заларинский район,0.969040
2024-01-06,Зиминский район,28.341754
2024-01-06,Иркутский район,133.945626
2024-01-06,Казачинско-Ленский район,10.237590
2024-01-06,Куйтунский район,4.122930
2024-01-06,Левый берег,299.747302
2024-01-06,МО Саянск,21.478995
2024-01-06,Осинский район,7.721652
2024-01-06,Правый берег,238.116687
2024-01-06,Слюдянский район,27.572018
2024-01-06,Тулунский район,38.910253
2024-01-06,Усольский район,73.713966
2024-01-06,Черемховский район,31.838082
2024-01-06,Шелеховский район,42.426559
2024-01-06,Эхирит-Булагатский район,9.065972
2024-01-07,Аларский район,3.200284
2024-01-07,Ангарский ГО,86.111653
2024-01-07,Бодайбинский район,7.347526
2024-01-07,Боханский район,8.622735
2024-01-07,Заларинский район,5.820478
2024-01-07,Зиминский район,19.152070
2024-01-07,Иркутский район,138.433089
2024-01-07,Казачинско-Ленский район,11.167977
2024-01-07,Куйтунский район,7.290168
2024-01-07,Левый берег,285.214922
2024-01-07,МО Саянск,23.918702
2024-01-07,Нукутский район,9.005622
2024-01-07,Ольхонский район,6.809528
2024-01-07,Осинский район,3.017652
2024-01-07,Правый берег,229.524301
2024-01-07,Слюдянский район,21.249676
2024-01-07,Тулунский район,29.960871
2024-01-07,Усольский район,67.282409
2024-01-07,Усть-Удинский район,0.053518
2024-01-07,Черемховский район,30.053279
2024-01-07,Шелеховский район,45.292557
2024-01-07,Эхирит-Булагатский район,13.262157
2024-01-08,Аларский район,7.827971
2024-01-08,Ангарский ГО,172.997813
2024-01-08,Баяндаевский район,13.334901
2024-01-08,Бодайбинский район,8.514513
2024-01-08,Боханский район,3.309291
2024-01-08,Заларинский район,2.203944
2024-01-08,Зиминский район,31.282105
2024-01-08,Иркутский район,158.258804
2024-01-08,Казачинско-Ленский район,7.301199
2024-01-08,Качугский район,6.085355
2024-01-08,Куйтунский район,2.577691
2024-01-08,Левый берег,299.024448
2024-01-08,МО Саянск,28.607947
2024-01-08,Нукутский район,4.886165
2024-01-08,Осинский район,10.528606
2024-01-08,Правый берег,259.132029
2024-01-08,Слюдянский район,26.419261
2024-01-08,Тулунский район,38.365795
2024-01-08,Усольский район,77.943831
2024-01-08,Усть-Удинский район,3.439731
2024-01-08,Черемховский район,35.740148
2024-01-08,Шелеховский район,46.347048
2024-01-08,Эхирит-Булагатский район,15.738628
2024-01-09,Аларский район,7.922337
2024-01-09,Ангарский ГО,170.060974
2024-01-09,Балаганский район,3.591752
2024-01-09,Баяндаевский район,12.032852
2024-01-09,Бодайбинский район,12.657015
2024-01-09,Боханский район,2.956490
2024-01-09,Жигаловский район,6.151122
2024-01-09,Заларинский район,8.887171
2024-01-09,Зиминский район,32.776349
2024-01-09,Иркутский район,147.297199
2024-01-09,Казачинско-Ленский район,11.981048
2024-01-09,Куйтунский район,9.767736
2024-01-09,Левый берег,339.537563
2024-01-09,МО Саянск,22.253916
2024-01-09,Нукутский район,6.579769
2024-01-09,Ольхонский район,3.466036
2024-01-09,Осинский район,11.464084
2024-01-09,Правый берег,278.510514
2024-01-09,Слюдянский район,28.449110
2024-01-09,Тулунский район,36.748601
2024-01-09,Усольский район,83.311217
2024-01-09,Усть-Удинский район,3.871165
2024-01-09,Черемховский район,47.155221
2024-01-09,Шелеховский район,54.449000
2024-01-09,Эхирит-Булагатский район,18.872310
2024-01-10,Аларский район,8.089107
2024-01-10,Ангарский ГО,153.557423
2024-01-10,Балаганский район,2.090899
2024-01-10,Баяндаевский район,12.956377
2024-01-10,Бодайбинский район,6.339596
2024-01-10,Боханский район,5.256174
2024-01-10,Жигаловский район,7.003018
2024-01-10,Заларинский район,10.892530
2024-01-10,Зиминский район,33.830531
2024-01-10,Иркутский район,153.031153
2024-01-10,Казачинско-Ленский район,10.740910
2024-01-10,Качугский район,6.676918
2024-01-10,Куйтунский район,3.898674
2024-01-10,Левый берег,325.786008
2024-01-10,МО Саянск,29.721997
2024-01-10,Нукутский район,0.497335
2024-01-10,Ольхонский район,3.470599
2024-01-10,Осинский район,11.890548
2024-01-10,Правый берег,276.215822
2024-01-10,Слюдянский район,30.645129
2024-01-10,Тулунский район,40.305098
2024-01-10,Усольский район,79.994745
2024-01-10,Усть-Удинский район,1.932221
2024-01-10,Черемховский район,66.410913
2024-01-10,Шелеховский район,48.631846
2024-01-10,Эхирит-Булагатский район,16.986403
2024-01-11,Аларский район,8.551794
2024-01-11,Ангарский ГО,163.037560
2024-01-11,Баяндаевский район,9.407025
2024-01-11,Бодайбинский район,10.041406
2024-01-11,Боханский район,2.995532
2024-01-11,Жигаловский район,4.147593
2024-01-11,Заларинский район,3.309336
2024-01-11,Зиминский район,22.670657
2024-01-11,Иркутский район,121.350980
2024-01-11,Казачинско-Ленский район,8.971263
2024-01-11,Качугский район,4.238936
2024-01-11,Куйтунский район,5.311030
2024-01-11,Левый берег,317.045681
2024-01-11,МО Саянск,22.950347
2024-01-11,Нукутский район,2.449290
2024-01-11,Осинский район,6.949332
2024-01-11,Правый берег,270.509736
2024-01-11,Слюдянский район,23.792666
2024-01-11,Тулунский район,35.438822
2024-01-11,Усольский район,62.755761
2024-01-11,Усть-Удинский район,2.829408
2024-01-11,Черемховский район,44.236909
2024-01-11,Шелеховский район,43.494464
2024-01-11,Эхирит-Булагатский район,13.192673
2024-01-12,Аларский район,2.941631
2024-01-12,Ангарский ГО,199.531272
2024-01-12,Баяндаевский район,10.299274
2024-01-12,Бодайбинский район,7.672701
2024-01-12,Боханский район,3.864698
2024-01-12,Жигаловский район,5.816483
2024-01-12,Заларинский район,5.964180
2024-01-12,Зиминский район,17.232443
2024-01-12,Иркутский район,161.978123
2024-01-12,Казачинско-Ленский район,8.413110
2024-01-12,Качугский район,4.861325
2024-01-12,Куйтунский район,3.538703
2024-01-12,Левый берег,313.562617
2024-01-12,МО Саянск,28.946702
