year_month,district,actual_m3
2024-01,Аларский район,212.595298
2024-01,Ангарский ГО,4614.911507
2024-01,Балаганский район,34.017517
2024-01,Баяндаевский район,241.500685
2024-01,Бодайбинский район,273.212037
2024-01,Боханский район,141.940573
2024-01,Жигаловский район,117.202136
2024-01,Заларинский район,188.862867
2024-01,Зиминский район,840.989813
2024-01,Иркутский район,4445.173013
2024-01,Казачинско-Ленский район,298.179921
2024-01,Качугский район,85.786521
2024-01,Куйтунский район,162.265126
2024-01,Левый берег,9679.288800
2024-01,МО Саянск,797.369497
2024-01,Нукутский район,82.670214
2024-01,Ольхонский район,118.182071
2024-01,Осинский район,207.746688
2024-01,Правый берег,8195.128294
2024-01,Слюдянский район,791.451279
2024-01,Тулунский район,1164.363221
2024-01,Усольский район,2355.062273
2024-01,Усть-Удинский район,50.183645
2024-01,Черемховский район,1325.153892
2024-01,Шелеховский район,1461.980956
2024-01,Эхирит-Булагатский район,412.396538
2024-02,Аларский район,192.195439
2024-02,Ангарский ГО,4366.943477
2024-02,Балаганский район,59.926636
2024-02,Баяндаевский район,230.316982
2024-02,Бодайбинский район,265.132897
2024-02,Боханский район,126.434637
2024-02,Жигаловский район,114.461246
2024-02,Заларинский район,255.990777
2024-02,Зиминский район,795.511490
2024-02,Иркутский район,4080.225027
2024-02,Казачинско-Ленский район,311.413726
2024-02,Качугский район,91.902891
2024-02,Куйтунский район,140.289416
2024-02,Левый берег,8999.393758
2024-02,МО Саянск,704.430215
2024-02,Нукутский район,88.169941
2024-02,Ольхонский район,108.297748
2024-02,Осинский район,198.609610
2024-02,Правый берег,7597.568290
2024-02,Слюдянский район,735.434451
2024-02,Тулунский район,1155.295291
2024-02,Усольский район,2200.367621
2024-02,Усть-Удинский район,54.207052
2024-02,Черемховский район,1248.573430
2024-02,Шелеховский район,1340.385295
2024-02,Эхирит-Булагатский район,392.462308
2024-03,Аларский район,200.173757
2024-03,Ангарский ГО,4676.493341
2024-03,Балаганский район,63.558625
2024-03,Баяндаевский район,285.396379
2024-03,Бодайбинский район,292.101492
2024-03,Боханский район,166.818370
2024-03,Жигаловский район,119.495620
2024-03,Заларинский район,264.474891
2024-03,Зиминский район,897.303790
2024-03,Иркутский район,4823.756868
2024-03,Казачинско-Ленский район,353.611035
2024-03,Качугский район,112.002957
2024-03,Куйтунский район,192.942185
2024-03,Левый берег,9877.458961
2024-03,МО Саянск,767.893578
2024-03,Нукутский район,99.258941
2024-03,Ольхонский район,147.415268
2024-03,Осинский район,223.553436
2024-03,Правый берег,8198.296510
2024-03,Слюдянский район,821.260980
2024-03,Тулунский район,1293.165398
2024-03,Усольский район,2593.741201
2024-03,Усть-Удинский район,65.810319
2024-03,Черемховский район,1388.111427
2024-03,Шелеховский район,1529.627009
2024-03,Эхирит-Булагатский район,443.302083
2024-04,Аларский район,258.858811
2024-04,Ангарский ГО,4681.027290
2024-04,Балаганский район,64.974285
2024-04,Баяндаевский район,299.334278
2024-04,Бодайбинский район,289.312611
2024-04,Боханский район,179.141058
2024-04,Жигаловский район,129.616016
2024-04,Заларинский район,277.441595
2024-04,Зиминский район,958.440440
2024-04,Иркутский район,5276.743702
2024-04,Казачинско-Ленский район,371.319354
2024-04,Качугский район,141.029761
2024-04,Куйтунский район,219.540264
2024-04,Левый берег,10056.791054
2024-04,МО Саянск,765.399525
2024-04,Нукутский район,125.094257
2024-04,Ольхонский район,239.534316
2024-04,Осинский район,281.167606
2024-04,Правый берег,8384.174700
2024-04,Слюдянский район,894.089494
2024-04,Тулунский район,1348.872651
2024-04,Усольский район,2841.155850
2024-04,Усть-Удинский район,81.848679
2024-04,Черемховский район,1478.520838
2024-04,Шелеховский район,1682.179592
2024-04,Эхирит-Булагатский район,497.949427
2024-05,Аларский район,303.869497
2024-05,Ангарский ГО,5023.752139
2024-05,Балаганский район,63.171502
