file,tokens,characters
admin/reports-management.feature,2396,10387
admin/schedule-management.feature,2219,9599
admin/request-management.feature,1966,8547
admin/trend-analysis.feature,1955,8482
admin/employee-management.feature,1811,7879
admin/forecast-building.feature,1645,7169
admin/shift-management.feature,1211,5266
admin/schema-management.feature,1199,5198
admin/exception-management.feature,880,3804
user/shift-marketplace.feature,732,3180
shared/data-grid.feature,722,3136
admin/absenteeism-calculation.feature,717,3081
user/request-workflows.feature,640,2794
user/exchange-chat.feature,600,2617
user/user-profile.feature,597,2601
admin/time-tracking.feature,581,2550
user/attendance-calendar.feature,581,2529
integration/module-federation.feature,574,2470
shared/navigation.feature,508,2191
integration/api-client.feature,473,2045
integration/real-time-sync.feature,468,2012
user/schedule-management.feature,455,1969
shared/authentication.feature,454,1990
integration/cross-module-auth.feature,444,1913
user/personal-dashboard.feature,363,1583
admin/employee-workload.feature,347,1505
