account_id,touchpoint_dt,interaction_value
adv-001,2024-10-25,1.5
adv-001,2024-10-29,2.0
adv-001,2024-10-31,1.0
adv-001,2024-11-01,2.0
adv-001,2024-11-18,2.0
adv-001,2024-11-21,2.0
adv-001,2024-11-24,2.0
adv-001,2024-11-25,2.0
adv-001,2024-12-05,1.5
adv-001,2024-12-09,2.0
adv-001,2024-12-10,1.0
adv-001,2024-12-12,2.0
adv-001,2024-12-13,1.5
adv-001,2024-12-14,1.0
adv-001,2024-12-15,2.0
adv-001,2024-12-16,1.0
adv-001,2024-12-18,2.0
adv-001,2024-12-19,1.0
adv-001,2024-12-20,1.0
adv-001,2024-12-20,1.5
adv-001,2024-12-25,1.5
adv-001,2024-12-26,1.5
adv-001,2024-12-29,2.0
adv-001,2024-12-31,1.5
adv-001,2025-01-03,2.0
adv-001,2025-01-04,2.0
adv-001,2025-01-04,1.5
adv-001,2025-01-07,1.0
adv-001,2025-01-13,1.5
adv-001,2025-01-16,1.5
adv-001,2025-01-17,1.0
adv-002,2024-10-29,1.5
adv-002,2024-11-01,1.5
adv-002,2024-11-06,1.0
adv-002,2024-11-13,2.0
adv-002,2024-11-14,2.0
adv-002,2024-11-16,1.5
adv-002,2024-11-17,1.0
adv-002,2024-11-19,1.5
adv-002,2024-11-21,1.0
adv-002,2024-11-24,2.0
adv-002,2024-11-25,2.0
adv-002,2024-11-25,2.0
adv-002,2024-11-29,2.0
adv-002,2024-11-30,2.0
adv-002,2024-12-03,2.0
adv-002,2024-12-08,2.0
adv-002,2024-12-13,2.0
adv-002,2024-12-19,2.0
adv-002,2024-12-22,1.0
adv-002,2024-12-26,2.0
adv-002,2025-01-02,2.0
adv-002,2025-01-03,2.0
adv-002,2025-01-07,1.5
adv-002,2025-01-09,1.5
adv-002,2025-01-10,1.5
adv-002,2025-01-15,1.5
adv-002,2025-01-16,1.0
adv-002,2025-01-17,1.5
adv-002,2025-01-18,2.0
adv-002,2025-01-20,2.0
adv-002,2025-01-21,2.0
adv-003,2024-10-26,1.5
adv-003,2024-10-27,1.0
adv-003,2024-11-02,1.5
adv-003,2024-11-08,1.5
adv-003,2024-11-11,1.5
adv-003,2024-11-14,2.0
adv-003,2024-11-15,2.0
adv-003,2024-11-16,1.0
adv-003,2024-11-17,2.0
adv-003,2024-11-21,1.5
adv-003,2024-11-22,2.0
adv-003,2024-11-23,1.0
adv-003,2024-11-24,1.0
adv-003,2024-11-26,2.0
adv-003,2024-12-03,1.5
adv-003,2024-12-04,1.0
adv-003,2024-12-05,2.0
adv-003,2024-12-06,1.0
adv-003,2024-12-07,2.0
adv-003,2024-12-16,1.5
adv-003,2024-12-17,1.5
adv-003,2024-12-20,1.0
adv-003,2024-12-21,2.0
adv-003,2024-12-22,2.0
adv-003,2024-12-25,1.5
adv-003,2024-12-26,1.0
adv-003,2024-12-31,2.0
adv-003,2025-01-04,2.0
adv-003,2025-01-08,1.5
adv-003,2025-01-09,1.0
adv-003,2025-01-19,1.5
adv-003,2025-01-20,1.0
adv-004,2024-10-26,1.0
adv-004,2024-10-28,1.5
adv-004,2024-11-02,2.0
adv-004,2024-11-04,1.5
adv-004,2024-11-07,2.0
adv-004,2024-11-13,2.0
adv-004,2024-11-14,1.0
adv-004,2024-11-25,1.5
adv-004,2024-11-26,2.0
adv-004,2024-11-27,1.0
adv-004,2024-11-29,1.0
adv-004,2024-12-01,2.0
adv-004,2024-12-02,1.5
adv-004,2024-12-03,2.0
adv-004,2024-12-04,1.5
adv-004,2024-12-08,1.5
adv-004,2024-12-11,1.5
adv-004,2024-12-22,1.0
adv-004,2024-12-26,1.0
adv-004,2024-12-30,2.0
adv-004,2024-12-31,2.0
adv-004,2025-01-05,1.0
adv-004,2025-01-06,2.0
adv-004,2025-01-06,2.0
adv-004,2025-01-12,2.0
adv-004,2025-01-18,1.5
adv-004,2025-01-22,2.0
adv-004,2025-01-23,1.0
adv-005,2024-10-28,1.0
adv-005,2024-10-29,2.0
adv-005,2024-11-03,2.0
adv-005,2024-11-12,1.5
adv-005,2024-11-19,1.0
adv-005,2024-11-24,2.0
adv-005,2024-11-26,1.0
adv-005,2024-12-05,1.5
adv-005,2024-12-06,2.0
adv-005,2024-12-08,1.5
adv-005,2024-12-09,1.0
adv-005,2024-12-16,2.0
adv-005,2024-12-17,1.0
adv-005,2024-12-21,2.0
adv-005,2024-12-22,2.0
adv-005,2024-12-24,1.0
adv-005,2024-12-26,1.0
adv-005,2024-12-27,2.0
adv-005,2024-12-28,2.0
adv-005,2024-12-30,2.0
adv-005,2024-12-31,1.5
adv-005,2025-01-06,2.0
adv-005,2025-01-10,1.5
adv-005,2025-01-11,1.5
adv-005,2025-01-18,2.0
adv-005,2025-01-22,1.5
adv-006,2024-11-02,2.0
adv-006,2024-11-03,1.5
adv-006,2024-11-22,1.5
adv-006,2024-12-03,1.5
adv-006,2024-12-06,2.0
adv-006,2024-12-11,2.0
adv-006,2024-12-18,1.0
adv-006,2025-01-02,2.0
adv-007,2024-10-25,1.5
adv-007,2024-10-26,1.5
adv-007,2024-10-27,2.0
adv-007,2024-10-29,1.0
adv-007,2024-10-31,1.0
adv-007,2024-11-04,1.5
adv-007,2024-11-08,1.5
adv-007,2024-11-16,1.0
adv-007,2024-11-18,2.0
adv-007,2024-11-19,1.5
adv-007,2024-11-21,1.0
adv-007,2024-11-22,1.0
adv-007,2024-11-22,2.0
adv-007,2024-11-23,1.5
adv-007,2024-11-24,2.0
adv-007,2024-11-25,1.0
adv-007,2024-12-01,1.5
adv-007,2024-12-07,1.5
adv-007,2024-12-08,1.0
adv-007,2024-12-10,1.5
adv-007,2024-12-12,1.0
adv-007,2024-12-13,1.0
adv-007,2024-12-15,1.5
adv-007,2024-12-27,1.0
adv-007,2024-12-28,2.0
adv-007,2024-12-29,2.0
adv-007,2025-01-03,1.5
adv-007,2025-01-04,1.0
adv-007,2025-01-06,1.0
adv-007,2025-01-11,2.0
adv-007,2025-01-22,1.5
adv-008,2024-11-02,1.0
adv-008,2024-11-06,1.0
adv-008,2024-11-18,2.0
adv-008,2024-12-02,2.0
adv-008,2024-12-05,2.0
adv-008,2024-12-06,2.0
adv-008,2024-12-09,1.5
adv-008,2024-12-10,1.5
adv-008,2024-12-27,1.0
adv-008,2024-12-28,1.0
adv-008,2025-01-04,1.5
adv-008,2025-01-14,2.0
adv-008,2025-01-15,2.0
adv-008,2025-01-20,1.0
adv-009,2024-10-30,1.0
adv-009,2024-11-03,1.5
adv-009,2024-11-04,2.0
adv-009,2024-11-08,1.0
adv-009,2024-11-09,2.0
adv-009,2024-11-10,1.0
adv-009,2024-11-11,1.0
adv-009,2024-11-14,1.5
adv-009,2024-11-20,1.5
adv-009,2024-11-21,2.0
adv-009,2024-11-21,1.5
adv-009,2024-11-22,1.0
adv-009,2024-11-22,2.0
adv-009,2024-11-23,2.0
adv-009,2024-11-26,1.5
adv-009,2024-11-27,1.0
adv-009,2024-11-28,1.5
adv-009,2024-12-03,2.0
adv-009,2024-12-08,1.5
adv-009,2024-12-13,1.5
adv-009,2024-12-18,2.0
adv-009,2024-12-21,1.0
adv-009,2024-12-22,1.0
adv-009,2024-12-23,1.5
adv-009,2024-12-24,1.0
adv-009,2024-12-26,1.5
adv-009,2025-01-02,2.0
adv-009,2025-01-04,1.5
adv-009,2025-01-05,2.0
adv-009,2025-01-06,1.0
adv-009,2025-01-10,1.0
adv-009,2025-01-14,2.0
adv-010,2024-10-26,1.5
adv-010,2024-10-27,1.0
adv-010,2024-11-02,2.0
adv-010,2024-11-03,1.5
adv-010,2024-11-05,1.0
adv-010,2024-11-06,1.0
adv-010,2024-11-11,1.5
adv-010,2024-11-12,2.0
adv-010,2024-11-15,2.0
adv-010,2024-11-18,2.0
adv-010,2024-11-19,2.0
adv-010,2024-11-19,1.0
adv-010,2024-11-20,1.5
adv-010,2024-11-21,1.0
adv-010,2024-11-24,1.0
adv-010,2024-11-27,1.0
adv-010,2024-11-29,1.0
adv-010,2024-12-02,1.0
adv-010,2024-12-03,2.0
adv-010,2024-12-03,1.5
adv-010,2024-12-04,2.0
adv-010,2024-12-05,1.0
adv-010,2024-12-06,1.0
adv-010,2024-12-11,1.0
adv-010,2024-12-12,2.0
adv-010,2024-12-13,2.0
adv-010,2024-12-14,1.5
adv-010,2024-12-17,2.0
adv-010,2024-12-21,1.5
adv-010,2024-12-23,2.0
adv-010,2024-12-25,1.0
adv-010,2024-12-30,1.5
adv-010,2025-01-05,1.0
adv-010,2025-01-12,1.0
adv-010,2025-01-13,2.0
adv-010,2025-01-18,2.0
adv-010,2025-01-19,1.0
adv-010,2025-01-20,1.5
adv-011,2024-10-25,1.5
adv-011,2024-11-29,1.0
adv-011,2024-12-06,2.0
adv-011,2024-12-07,1.5
adv-011,2024-12-08,1.0
adv-011,2024-12-16,1.5
adv-011,2024-12-19,1.5
adv-011,2024-12-30,1.0
adv-011,2024-12-31,2.0
adv-011,2025-01-02,2.0
adv-011,2025-01-11,1.5
adv-011,2025-01-15,1.0
adv-012,2024-10-26,2.0
adv-012,2024-11-03,1.5
adv-012,2024-11-04,1.5
adv-012,2024-11-05,2.0
adv-012,2024-11-08,1.0
adv-012,2024-11-09,2.0
adv-012,2024-11-11,1.0
adv-012,2024-11-16,1.0
adv-012,2024-11-17,2.0
adv-012,2024-11-18,2.0
adv-012,2024-11-18,1.5
adv-012,2024-11-21,2.0
adv-012,2024-11-24,2.0
adv-012,2024-11-27,1.5
adv-012,2024-11-28,2.0
adv-012,2024-11-29,1.0
adv-012,2024-11-30,1.0
adv-012,2024-12-02,2.0
adv-012,2024-12-04,1.5
adv-012,2024-12-07,2.0
adv-012,2024-12-08,1.5
adv-012,2024-12-11,1.0
adv-012,2024-12-12,1.5
adv-012,2024-12-13,1.5
adv-012,2024-12-17,1.5
adv-012,2024-12-20,2.0
adv-012,2024-12-21,2.0
adv-012,2024-12-21,1.5
adv-012,2024-12-23,1.5
adv-012,2024-12-29,1.0
adv-012,2024-12-30,1.0
adv-012,2024-12-31,2.0
adv-012,2025-01-04,1.5
adv-012,2025-01-08,1.5
adv-012,2025-01-14,1.0
adv-012,2025-01-15,2.0
adv-012,2025-01-17,1.5
adv-012,2025-01-20,1.5
adv-013,2024-10-27,1.5
adv-013,2024-10-29,1.5
adv-013,2024-10-31,1.0
adv-013,2024-11-05,1.5
adv-013,2024-11-07,1.5
adv-013,2024-11-08,1.0
adv-013,2024-11-10,1.5
adv-013,2024-11-11,2.0
adv-013,2024-11-13,1.5
adv-013,2024-11-21,2.0
adv-013,2024-11-22,2.0
adv-013,2024-11-22,1.5
adv-013,2024-11-25,2.0
adv-013,2024-11-26,1.5
adv-013,2024-11-28,2.0
adv-013,2024-11-29,2.0
adv-013,2024-11-30,1.0
adv-013,2024-12-03,1.5
adv-013,2024-12-04,1.5
adv-013,2024-12-05,1.0
adv-013,2024-12-06,1.0
adv-013,2024-12-08,1.5
adv-013,2024-12-09,1.0
adv-013,2024-12-09,2.0
adv-013,2024-12-10,1.0
adv-013,2024-12-13,1.0
adv-013,2024-12-19,2.0
adv-013,2024-12-20,2.0
adv-013,2024-12-20,1.5
adv-013,2024-12-22,1.0
adv-013,2024-12-25,1.0
adv-013,2024-12-28,1.0
adv-013,2025-01-01,1.0
adv-013,2025-01-05,2.0
adv-013,2025-01-06,2.0
adv-013,2025-01-13,1.0
adv-013,2025-01-16,1.5
adv-013,2025-01-19,1.0
adv-013,2025-01-20,2.0
adv-014,2024-10-29,2.0
adv-014,2024-11-03,1.0
adv-014,2024-11-04,1.5
adv-014,2024-11-05,1.0
adv-014,2024-11-09,1.5
adv-014,2024-11-11,1.0
adv-014,2024-11-12,1.0
adv-014,2024-12-05,1.5
adv-014,2024-12-31,2.0
adv-014,2025-01-08,1.5
adv-014,2025-01-09,1.0
adv-014,2025-01-16,1.0
adv-015,2024-10-30,2.0
adv-015,2024-10-31,2.0
adv-015,2024-11-02,1.0
adv-015,2024-11-04,1.0
adv-015,2024-11-05,1.5
adv-015,2024-11-09,2.0
adv-015,2024-11-11,1.0
adv-015,2024-11-12,1.5
adv-015,2024-11-13,1.0
adv-015,2024-11-18,1.0
adv-015,2024-11-19,1.5
adv-015,2024-11-22,1.0
adv-015,2024-11-23,2.0
adv-015,2024-11-25,2.0
adv-015,2024-11-26,1.0
adv-015,2024-11-28,2.0
adv-015,2024-12-05,1.0
adv-015,2024-12-07,1.5
adv-015,2024-12-10,1.5
adv-015,2024-12-14,1.5
adv-015,2024-12-25,2.0
adv-015,2024-12-30,1.0
adv-015,2024-12-31,2.0
adv-015,2025-01-03,1.5
adv-015,2025-01-08,1.5
adv-015,2025-01-09,1.0
adv-015,2025-01-16,2.0
adv-015,2025-01-17,1.0
adv-016,2024-10-26,1.5
adv-016,2024-10-29,1.0
adv-016,2024-11-05,1.0
adv-016,2024-11-06,2.0
adv-016,2024-11-08,1.0
adv-016,2024-11-16,1.5
adv-016,2024-11-17,1.5
adv-016,2024-11-18,2.0
adv-016,2024-11-20,1.5
adv-016,2024-11-21,1.0
adv-016,2024-11-26,2.0
adv-016,2024-11-30,1.5
adv-016,2024-12-01,2.0
adv-016,2024-12-03,2.0
adv-016,2024-12-05,1.5
adv-016,2024-12-06,1.5
adv-016,2024-12-07,1.0
adv-016,2024-12-07,1.0
adv-016,2024-12-11,1.5
adv-016,2024-12-22,1.5
adv-016,2024-12-23,1.5
adv-016,2024-12-24,2.0
adv-016,2024-12-25,1.5
adv-016,2024-12-29,1.5
adv-016,2024-12-30,1.0
adv-016,2024-12-31,2.0
adv-016,2025-01-02,1.5
adv-016,2025-01-05,1.5
adv-016,2025-01-06,1.5
adv-016,2025-01-10,2.0
adv-016,2025-01-12,2.0
adv-016,2025-01-14,1.0
adv-016,2025-01-15,1.0
adv-016,2025-01-16,1.0
adv-017,2024-10-26,2.0
adv-017,2024-10-29,2.0
adv-017,2024-11-01,1.0
adv-017,2024-11-02,2.0
adv-017,2024-11-03,2.0
adv-017,2024-11-04,2.0
adv-017,2024-11-04,1.0
adv-017,2024-11-05,1.5
adv-017,2024-11-06,2.0
adv-017,2024-11-09,2.0
adv-017,2024-11-12,1.0
adv-017,2024-11-13,1.0
adv-017,2024-11-19,1.5
adv-017,2024-11-26,1.5
adv-017,2024-12-04,1.5
adv-017,2024-12-05,2.0
adv-017,2024-12-06,2.0
adv-017,2024-12-10,1.0
adv-017,2024-12-11,1.0
adv-017,2024-12-12,1.0
adv-017,2024-12-15,2.0
adv-017,2024-12-20,1.0
adv-017,2024-12-21,1.0
adv-017,2024-12-21,2.0
adv-017,2024-12-24,1.5
adv-017,2024-12-26,2.0
adv-017,2024-12-30,1.0
adv-017,2025-01-01,1.5
adv-017,2025-01-02,1.5
adv-017,2025-01-03,1.0
adv-017,2025-01-03,2.0
adv-017,2025-01-06,2.0
adv-017,2025-01-12,2.0
adv-017,2025-01-14,1.5
adv-017,2025-01-15,2.0
adv-017,2025-01-16,2.0
adv-017,2025-01-19,2.0
adv-017,2025-01-22,2.0
adv-017,2025-01-23,2.0
adv-018,2024-10-25,1.0
adv-018,2024-10-27,2.0
adv-018,2024-10-28,1.0
adv-018,2024-10-29,2.0
adv-018,2024-10-30,2.0
adv-018,2024-11-03,1.0
adv-018,2024-11-04,1.0
adv-018,2024-11-06,2.0
adv-018,2024-11-07,1.5
adv-018,2024-11-08,2.0
adv-018,2024-11-10,1.0
adv-018,2024-11-18,1.0
adv-018,2024-11-19,1.0
adv-018,2024-11-24,1.5
adv-018,2024-11-25,1.0
adv-018,2024-11-26,1.0
adv-018,2024-12-04,1.0
adv-018,2024-12-05,1.0
adv-018,2024-12-10,2.0
adv-018,2024-12-17,1.5
adv-018,2024-12-20,1.0
adv-018,2024-12-22,2.0
adv-018,2024-12-23,1.0
adv-018,2024-12-25,1.5
adv-018,2024-12-31,1.0
adv-018,2025-01-01,1.0
adv-018,2025-01-02,2.0
adv-018,2025-01-02,1.5
adv-018,2025-01-03,1.0
adv-018,2025-01-05,1.5
adv-018,2025-01-08,1.0
adv-018,2025-01-11,1.0
